candidate_id,module_path,artifact_selector,mapping_status,notes
RCM-06943,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-09227,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-01434,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-07711,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-07660,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-11024,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-05741,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-10527,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-00611,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-00152,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-01073,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-05643,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-06096,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-07830,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-07410,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-09229,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-03733,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-07268,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-01433,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-05755,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-07567,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-06695,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-10866,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-07408,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-02430,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-07668,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-09279,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-07084,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-00029,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-01347,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-02427,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-06255,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-03767,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-01143,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-00474,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-08095,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-07714,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-02543,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-04643,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-08673,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-10089,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-01451,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
RCM-06420,.,auto,PROVISIONAL_ROOT,Root D1 Maven validation
